 Voornaam,Naam,Achternaam,,Username,Intern,E-mailadres,Mobiel,Adres,Postcode,Netnr,Telnr,Plaats,Bedrijfsonderdeel,Afdeling,Functie,Geboorteplaats,Geboorteland,Geboortedatum,Passwords,ou
Sander,Vries,de Vries,de,svries,187,sanderdevries@amerijck.net,0624806540,Vierduitruwe 6,6218 EK,043,3216892,Maastricht,Hoofdkantoor,ICT,Medewerker ICT,,nl,,AMrck104,"OU=Personeel,DC=Amerijck,DC=local"
Sandór,Marquez, Marquez,,smarquez,177,sandórmarquez@amerijck.net,0655133304,Dintelstraat 56/HS ,1078 VV   ,020,6695056,Amsterdam,Hoofdkantoor,Administratie,Boekhoudkundig medewerker,Pórto Alegre,brazilië,,AMrck105,"OU=Personeel,DC=Amerijck,DC=local"
Sanne,Groot,de Groot,de,sgroot,168,sannegroot@amerijck.net,0630648907,Soestdijksekade 153,2574 AE   ,070,3605692,Den Haag,Flying Dutchman Activities,Evenementenorganisatie,Exportmedewerker binnendienst,Leeuwarden,NL,8/15/1988,AMrck106,"OU=Personeel,DC=Amerijck,DC=local"
Savannah,Bloemperk, Bloemperk,,sbloemperk,,,,,,,,,Hoofdkantoor,P&O,Management assistent,Nieuw Amsterdam,suriname,,AMrck107,"OU=Personeel,DC=Amerijck,DC=local"
Sjoerd,Zaal, Zaal,,szaal,,,,,,,,,Hoofdkantoor,P&O,Medewerker personeel en arbeid,Kockengen,nl,,AMrck108,"OU=Personeel,DC=Amerijck,DC=local"
Souraya,Atakhorrami, Atakhorrami,,satakhorrami,108,sourayaatakhorrami@amerijck.net,0643277077,Hebronstraat 10 ,6222 CC   ,043,3473739,Maastricht,n.v.t.,n.v.t.,Contactpersoon gastenraad,,,,AMrck109,"OU=Personeel,DC=Amerijck,DC=local"
Sven,Kramer, Kramer,,skramer,169,svenkramer@amerijck.net,0623061259,Boegstraat 5,2586 ET   ,070,3854660,Den Haag,Flying Dutchman Activities,Evenementenorganisatie,Exportmedewerker buitendienst,,nl,,AMrck110,"OU=Personeel,DC=Amerijck,DC=local"
Sydney,Kluivert, Kluivert,,skluivert,147,sydneykluivert@amerijck.net,0691234584,Grote Belt 452 ,2133 GP   ,023,5380065,Hoofddorp,Famous Frog Logistics,Goederenontvangst,Logistiek medewerker,Amsterdam,nl,,AMrck111,"OU=Personeel,DC=Amerijck,DC=local"
Tjitte,Wever, Wever,,twever,172,tjittewever@amerijck.net,0624068506,Kornalijnhorst 278,2592 JC   ,070,3254693,Den Haag,Flying Dutchman Activities,Evenementenorganisatie,Medewerker evenementenorganisatie,Franeker,NL,,AMrck112,"OU=Personeel,DC=Amerijck,DC=local"
Victoria,Emerald, Emerald,,vemerald,,,,,,,,,Hoofdkantoor,Algemene zaken,Bedrijfsadministratief medewerker,Purmerend,NL,,AMrck113,"OU=Personeel,DC=Amerijck,DC=local"
Wilfred,Boef,den Boef,den,wboef,155,wilfredboef@amerijck.net,0624937518,De Perponcherstraat 126,2518 TA   ,070,3668443,Den Haag,Famous Frog Logistics,Transport,Logistiek teamleider,Den Haag,NL,2/11/1955,AMrck114,"OU=Personeel,DC=Amerijck,DC=local"
Yasmin,Hodzic, Hodzic,,yhodzic,161,yasminhodzic@amerijck.net,0653270055,Oude Haagweg 587,2552 GJ   ,070,3825179,Den Haag,Famous Frog Logistics,Bedrijfsburo,Exportmedewerker binnendienst,Sarajevo,Bosnië en Herzegovina,,AMrck115,"OU=Personeel,DC=Amerijck,DC=local"
